機構名稱,帳戶名稱,證券代號,持有單位,市值,持有成本,未實現損益,未實現損益報酬率,帳戶停用時間
手動台股證券,台新證券,00878,15000,330750,335236,-5098.75,-1.52,
手動台股證券,台新證券,00919,24000,562080,583687,-22649.08,-3.88,
手動台股證券,台新證券,0056,8000,296160,307466,-11855.16,-3.86,
手動台股證券,台新證券,00929,30000,541800,564903,-24107.8,-4.27,
